dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,3.618885,7.254288,3.642626,3.752211,-2.107706,-8.711943,0.042695
0.020000,3.693379,7.258024,3.717214,3.706573,-2.281945,-8.711943,0.057637
0.020000,3.766862,7.262825,3.790854,3.657449,-2.456184,-8.711943,0.072922
0.020000,3.839248,7.268677,3.863477,3.604840,-2.630423,-8.711943,0.088500
0.020000,3.910451,7.275560,3.935013,3.548747,-2.804661,-8.711943,0.104317
0.020000,3.980386,7.283446,4.005392,3.489169,-2.978900,-8.711943,0.120320
0.020000,4.048969,7.292297,4.074545,3.426106,-3.153139,-8.711943,0.136452
0.020000,4.116118,7.302070,4.142401,3.359559,-3.327378,-8.711943,0.152654
0.020000,4.181751,7.312711,4.208892,3.289527,-3.501617,-8.711943,0.168869
0.020000,4.245790,7.324161,4.273948,3.216009,-3.675856,-8.711943,0.185036
0.020000,4.308159,7.336353,4.337498,3.139008,-3.850094,-8.711943,0.201098
0.020000,4.368784,7.349214,4.399473,3.058521,-4.024333,-8.711943,0.216998
0.020000,4.427596,7.362663,4.459804,2.974549,-4.198572,-8.711943,0.232678
0.020000,4.484527,7.376617,4.518420,2.887093,-4.372811,-8.711943,0.248085
0.020000,4.539512,7.390987,4.575253,2.796152,-4.547050,-8.711943,0.263167
0.020000,4.592491,7.405678,4.630231,2.701726,-4.721289,-8.711943,0.277874
0.020000,4.643406,7.420596,4.683287,2.603816,-4.895528,-8.711943,0.292161
0.020000,4.692201,7.435640,4.734349,2.502421,-5.069766,-8.711943,0.305984
0.020000,4.738825,7.450711,4.783349,2.397540,-5.244005,-8.711943,0.319303
0.020000,4.783228,7.465706,4.830216,2.289176,-5.418244,-8.711943,0.332081
0.020000,4.825363,7.480525,4.874881,2.177326,-5.592483,-8.711943,0.344283
0.020000,4.865185,7.495064,4.917274,2.061991,-5.766722,-8.711943,0.355879
0.020000,4.902656,7.509227,4.957332,1.943846,-5.907281,-7.027978,0.366841
0.020000,4.937805,7.522941,4.995063,1.829185,-5.733043,8.711943,0.377165
0.020000,4.970720,7.536165,5.030535,1.718009,-5.558804,8.711943,0.386865
0.020000,5.001486,7.548862,5.063818,1.610318,-5.384565,8.711943,0.395958
0.020000,5.030187,7.561004,5.094982,1.506111,-5.210326,8.711943,0.404460
0.020000,5.056908,7.572567,5.124097,1.405389,-5.036087,8.711943,0.412391
0.020000,5.081728,7.583535,5.151233,1.308152,-4.861848,8.711943,0.419769
0.020000,5.104728,7.593894,5.176458,1.214400,-4.687609,8.711943,0.426615
0.020000,5.125986,7.603638,5.199844,1.124133,-4.513371,8.711943,0.432950
0.020000,5.145580,7.612764,5.221458,1.037350,-4.339132,8.711943,0.438793
0.020000,5.163585,7.621273,5.241372,0.954052,-4.164893,8.711943,0.444166
0.020000,5.180074,7.629170,5.259655,0.874239,-3.990654,8.711943,0.449089
0.020000,5.195121,7.636463,5.276377,0.797911,-3.816415,8.711943,0.453583
0.020000,5.208798,7.643165,5.291607,0.725067,-3.642176,8.711943,0.457669
0.020000,5.221173,7.649289,5.305414,0.655709,-3.467937,8.711943,0.461367
0.020000,5.232317,7.654852,5.317870,0.589835,-3.293699,8.711943,0.464698
0.020000,5.242297,7.659874,5.329043,0.527445,-3.119460,8.711943,0.467681
0.020000,5.251182,7.664376,5.339002,0.468541,-2.945221,8.711943,0.470336
0.020000,5.259036,7.668381,5.347819,0.413121,-2.770982,8.711943,0.472684
0.020000,5.265927,7.671913,5.355562,0.361186,-2.596743,8.711943,0.474744
0.020000,5.271918,7.674999,5.362301,0.312736,-2.422504,8.711943,0.476535
0.020000,5.277074,7.677666,5.368106,0.267771,-2.248265,8.711943,0.478076
0.020000,5.281459,7.679942,5.373047,0.226291,-2.074027,8.711943,0.479387
0.020000,5.285137,7.681856,5.377193,0.188295,-1.899788,8.711943,0.480486
0.020000,5.288169,7.683438,5.380614,0.153784,-1.725549,8.711943,0.481392
0.020000,5.290620,7.684720,5.383379,0.122758,-1.551310,8.711943,0.482125
0.020000,5.292551,7.685731,5.385559,0.095216,-1.377071,8.711943,0.482702
0.020000,5.294024,7.686504,5.387223,0.071160,-1.202832,8.711943,0.483142
0.020000,5.295103,7.687069,5.388440,0.050588,-1.028593,8.711943,0.483464
0.020000,5.295847,7.687460,5.389281,0.033501,-0.854355,8.711943,0.483687
0.020000,5.296320,7.687709,5.389815,0.019898,-0.680116,8.711943,0.483828
0.020000,5.296583,7.687847,5.390112,0.009781,-0.505877,8.711943,0.483907
0.020000,5.296697,7.687907,5.390241,0.003148,-0.331638,8.711943,0.483941
0.020000,5.296725,7.687922,5.390273,0.000000,-0.157399,8.711943,0.483949
0.020000,5.296725,7.687922,5.390273,0.000000,0.000000,7.869960,0.483949
