dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,4.197772,6.683546,3.481036,3.307230,-2.701167,-8.019663,0.715435
0.020000,4.246915,6.726090,3.546037,3.250021,-2.860430,-7.963162,0.711530
0.020000,4.295322,6.767639,3.609830,3.189647,-3.018686,-7.912805,0.706968
0.020000,4.342963,6.808129,3.672352,3.126128,-3.175961,-7.863752,0.701783
0.020000,4.389804,6.847500,3.733542,3.059491,-3.331868,-7.795355,0.696016
0.020000,4.435810,6.885696,3.793337,2.989754,-3.486808,-7.746958,0.689707
0.020000,4.480939,6.922666,3.851676,2.916947,-3.640373,-7.678279,0.682901
0.020000,4.525146,6.958366,3.908498,2.841091,-3.792794,-7.621062,0.675645
0.020000,4.568383,6.992753,3.963742,2.762215,-3.943828,-7.551664,0.667988
0.020000,4.610599,7.025790,4.017349,2.680340,-4.093718,-7.494498,0.659982
0.020000,4.651739,7.057448,4.069259,2.595492,-4.242435,-7.435861,0.651681
0.020000,4.691742,7.087698,4.119413,2.507687,-4.390244,-7.390483,0.643142
0.020000,4.730549,7.116521,4.167752,2.416950,-4.536817,-7.328636,0.634424
0.020000,4.768093,7.143897,4.214218,2.323298,-4.682633,-7.290805,0.625587
0.020000,4.804309,7.169816,4.258752,2.226745,-4.827643,-7.250484,0.616693
0.020000,4.839126,7.194269,4.301298,2.127301,-4.972171,-7.226426,0.607806
0.020000,4.872473,7.217251,4.341798,2.024975,-5.116340,-7.208435,0.598990
0.020000,4.904277,7.238762,4.380193,1.919769,-5.260295,-7.197728,0.590309
0.020000,4.934492,7.258821,4.416460,1.813357,-5.320592,-3.014844,0.581819
0.020000,4.963098,7.277470,4.450608,1.707387,-5.298504,1.104379,0.573567
0.020000,4.990076,7.294747,4.482645,1.601841,-5.277289,1.060760,0.565598
0.020000,5.015438,7.310711,4.512612,1.498352,-5.174425,5.143177,0.557945
0.020000,5.039221,7.325433,4.540583,1.398553,-4.989967,9.222935,0.550627
0.020000,5.061466,7.338985,4.566631,1.302401,-4.807597,9.118457,0.543663
0.020000,5.082215,7.351433,4.590828,1.209861,-4.627021,9.028813,0.537063
0.020000,5.101513,7.362843,4.613246,1.120898,-4.448141,8.944010,0.530838
0.020000,5.119403,7.373275,4.633956,1.035480,-4.270917,8.861196,0.524993
0.020000,5.135932,7.382789,4.653027,0.953577,-4.095151,8.788318,0.519531
0.020000,5.151147,7.391440,4.670531,0.875162,-3.920728,8.721135,0.514451
0.020000,5.165099,7.399282,4.686535,0.800211,-3.747539,8.659431,0.509749
0.020000,5.177835,7.406366,4.701109,0.728700,-3.575547,8.599602,0.505422
0.020000,5.189408,7.412741,4.714321,0.660611,-3.404465,8.554108,0.501462
0.020000,5.199869,7.418451,4.726240,0.595924,-3.234323,8.507104,0.497858
0.020000,5.209272,7.423542,4.736932,0.534621,-3.065162,8.458072,0.494601
0.020000,5.217670,7.428055,4.746466,0.476692,-2.896441,8.436033,0.491677
0.020000,5.225118,7.432031,4.754908,0.422121,-2.728587,8.392707,0.489072
0.020000,5.231670,7.435509,4.762326,0.370897,-2.561201,8.369314,0.486771
0.020000,5.237383,7.438525,4.768786,0.323010,-2.394329,8.343603,0.484759
0.020000,5.242312,7.441116,4.774356,0.278452,-2.227891,8.321888,0.483017
